subject,root_subject,object/0,is_multivalued,is_required,context,predicate,exclude_from_extensions,object/1,object/2,object/3
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,GO:0008150,true,false,,BFO:0000050,false,,,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,CHEBI:24431,true,false,,RO:0002233,true,CARO:0000000,GO:0032991,NCBITaxon:1
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,CHEBI:24431,true,false,,RO:0002234,true,CARO:0000000,GO:0032991,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,CHEBI:24431,true,false,,RO:0004009,false,CARO:0000000,GO:0032991,NCBITaxon:1
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,CHEBI:24431,true,false,,RO:0004008,false,CARO:0000000,GO:0032991,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,CARO:0000000,false,false,,BFO:0000066,false,,,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,CHEBI:33695,true,false,,RO:0002313,false,GO:0032991,,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,CARO:0000000,false,false,,RO:0002339,false,,,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,CARO:0000000,false,false,,RO:0002338,false,,,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,GO:0008150,true,false,,RO:0002411,true,GO:0003674,http://purl.obolibrary.org/obo/go/shapes/MolecularEvent,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,GO:0008150,true,false,,RO:0002305,true,GO:0003674,http://purl.obolibrary.org/obo/go/shapes/MolecularEvent,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,GO:0008150,true,false,,RO:0002304,true,GO:0003674,http://purl.obolibrary.org/obo/go/shapes/MolecularEvent,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,GO:0008150,true,false,,RO:0002211,true,,,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,GO:0008150,true,false,,RO:0002212,true,,,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,GO:0008150,true,false,,RO:0002213,true,,,
GO:0008150,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,CARO:0000000,true,false,,RO:0012003,false,NCBITaxon:1,,
GO:0048856,GO:0008150,CARO:0000000,false,false,,RO:0002296,false,,,
GO:0048646,GO:0008150,CARO:0000000,false,false,,RO:0002297,false,,,
GO:0009653,GO:0008150,CARO:0000000,false,false,,RO:0002298,false,,,
GO:0030154,GO:0008150,CL:0000003,false,false,,RO:0002315,false,,,
GO:0051301,GO:0008150,CL:0000003,false,false,,RO:0002233,false,,,
GO:0045165,GO:0008150,CL:0000003,false,false,,RO:0002348,false,,,
GO:0001709,GO:0008150,CL:0000003,false,false,,RO:0002349,false,,,
GO:0001708,GO:0008150,CL:0000003,false,false,,RO:0002356,false,,,
GO:0022607,GO:0008150,GO:0005575,false,false,,RO:0002588,false,,,
GO:0022411,GO:0008150,GO:0005575,false,false,,RO:0002590,false,,,
GO:0016043,GO:0008150,GO:0005575,false,false,,RO:0002592,false,,,
